Piraeus,Faliro,1.9920491473523023
Faliro,Moschato,1.715908263141929
Moschato,Kallithea,1.724239220956865
Kallithea,Tavros,0.540679595329705
Tavros,Petralona,0.7649522853485569
Petralona,Thissio,1.1859394950269286
Thissio,Monastiraki,1.5731094725930943
Monastiraki,Omonoia,1.1966228776852768
Omonoia,Victoria,0.9886529106991659
Victoria,Attiki,1.0031042946680353
Attiki,Aghios Nikolaos,0.9630255079626319
Aghios Nikolaos,Kato Patissia,0.5350200821242008
Kato Patissia,Aghios Eleftherios,0.9788169554114915
Aghios Eleftherios,Ano Patissia,0.5421092451686543
Ano Patissia,Perissos,1.1743151531033298
Perissos,Pefkakia,3.801704933165251
Pefkakia,Nea lonia,3.7042558449234235
Nea lonia,Iraklio,2.4340337755289414
Iraklio,Irini,1.4879990563293386
Irini,Neratziotissa,0.9280827548265691
Neratziotissa,Maroussi,1.6288830068705717
Maroussi,KAT,1.0612934945005112
KAT,Kifissia,0.94885491596325
